Month,FY,Store,Metric,Amount,AmountUnit
2022-Nov,FY 2022-23,GSM,Marketing & advertisement,0.69,Rs. Lakhs
2022-Nov,FY 2022-23,PPM,Marketing & advertisement,0.73,Rs. Lakhs
2022-Nov,FY 2022-23,FLM,Marketing & advertisement,1.59,Rs. Lakhs
2022-Nov,FY 2022-23,FDN,Marketing & advertisement,1.43,Rs. Lakhs
2022-Nov,FY 2022-23,DTK,Marketing & advertisement,1.11,Rs. Lakhs
2022-Nov,FY 2022-23,EGL,Other opex expenses,0.64,Rs. Lakhs
2022-Nov,FY 2022-23,ITPL,Other opex expenses,1.73,Rs. Lakhs
2022-Nov,FY 2022-23,RMZ,Other opex expenses,0.02,Rs. Lakhs
2022-Nov,FY 2022-23,KOR,Other opex expenses,0.99,Rs. Lakhs
2022-Nov,FY 2022-23,DIV,Other opex expenses,1.1,Rs. Lakhs
2022-Nov,FY 2022-23,IND,Other opex expenses,1.44,Rs. Lakhs
2022-Nov,FY 2022-23,BAG,Other opex expenses,0.02,Rs. Lakhs
2022-Nov,FY 2022-23,MAN,Other opex expenses,1,Rs. Lakhs
2022-Nov,FY 2022-23,MTP,Other opex expenses,0.61,Rs. Lakhs
2022-Nov,FY 2022-23,VIR,Other opex expenses,2.54,Rs. Lakhs
2022-Nov,FY 2022-23,ARK,Other opex expenses,1.14,Rs. Lakhs
2022-Nov,FY 2022-23,SIG,Other opex expenses,0.78,Rs. Lakhs
2022-Nov,FY 2022-23,HSR,Other opex expenses,1.68,Rs. Lakhs
2022-Nov,FY 2022-23,CVR,Other opex expenses,0.67,Rs. Lakhs
2022-Nov,FY 2022-23,SJP,Other opex expenses,0.04,Rs. Lakhs
2022-Nov,FY 2022-23,ORW,Other opex expenses,0.76,Rs. Lakhs
2022-Nov,FY 2022-23,EST,Other opex expenses,0.78,Rs. Lakhs
2022-Nov,FY 2022-23,JPN,Other opex expenses,1.18,Rs. Lakhs
2022-Nov,FY 2022-23,SYH,Other opex expenses,1.29,Rs. Lakhs
2022-Nov,FY 2022-23,ETF,Other opex expenses,0.74,Rs. Lakhs
2022-Nov,FY 2022-23,GSC,Other opex expenses,0.4,Rs. Lakhs
2022-Nov,FY 2022-23,PRI,Other opex expenses,0.03,Rs. Lakhs
2022-Nov,FY 2022-23,ECN,Other opex expenses,0.88,Rs. Lakhs
2022-Nov,FY 2022-23,RGA,Other opex expenses,0.61,Rs. Lakhs
2022-Nov,FY 2022-23,KCK,Other opex expenses,1.19,Rs. Lakhs
2022-Nov,FY 2022-23,BVG,Other opex expenses,1.09,Rs. Lakhs
2022-Nov,FY 2022-23,CLA,Other opex expenses,0.91,Rs. Lakhs
2022-Nov,FY 2022-23,IBC,Other opex expenses,0.62,Rs. Lakhs
2022-Nov,FY 2022-23,VBP,Other opex expenses,1.45,Rs. Lakhs
2022-Nov,FY 2022-23,ADM,Other opex expenses,1.1,Rs. Lakhs
2022-Nov,FY 2022-23,SFC,Other opex expenses,1.12,Rs. Lakhs
2022-Nov,FY 2022-23,SCK,Other opex expenses,1.17,Rs. Lakhs
2022-Nov,FY 2022-23,SES,Other opex expenses,0.97,Rs. Lakhs
2022-Nov,FY 2022-23,JIG,Other opex expenses,1.47,Rs. Lakhs
2022-Nov,FY 2022-23,GCN,Other opex expenses,1.3,Rs. Lakhs
2022-Nov,FY 2022-23,ANN,Other opex expenses,1.1,Rs. Lakhs
2022-Nov,FY 2022-23,SKO,Other opex expenses,1.33,Rs. Lakhs
2022-Nov,FY 2022-23,IHY,Other opex expenses,1.36,Rs. Lakhs
2022-Nov,FY 2022-23,DCH,Other opex expenses,3.18,Rs. Lakhs
2022-Nov,FY 2022-23,HAA,Other opex expenses,0.92,Rs. Lakhs
2022-Nov,FY 2022-23,SCH,Other opex expenses,1.17,Rs. Lakhs
2022-Nov,FY 2022-23,LTP,Other opex expenses,0.75,Rs. Lakhs
2022-Nov,FY 2022-23,FSM,Other opex expenses,0.99,Rs. Lakhs
2022-Nov,FY 2022-23,GSM,Other opex expenses,0.71,Rs. Lakhs
2022-Nov,FY 2022-23,PPM,Other opex expenses,0.8,Rs. Lakhs
2022-Nov,FY 2022-23,FLM,Other opex expenses,0.93,Rs. Lakhs
2022-Nov,FY 2022-23,FDN,Other opex expenses,1.1,Rs. Lakhs
2022-Nov,FY 2022-23,DTK,Other opex expenses,0.97,Rs. Lakhs
2022-Dec,FY 2022-23,EGL,Gross Sales,5.2,Rs. Lakhs
2022-Dec,FY 2022-23,ITPL,Gross Sales,46.62,Rs. Lakhs
2022-Dec,FY 2022-23,KOR,Gross Sales,25.65,Rs. Lakhs
2022-Dec,FY 2022-23,DIV,Gross Sales,22.81,Rs. Lakhs
2022-Dec,FY 2022-23,IND,Gross Sales,37.36,Rs. Lakhs
2022-Dec,FY 2022-23,MAN,Gross Sales,19.32,Rs. Lakhs
2022-Dec,FY 2022-23,MTP,Gross Sales,5.03,Rs. Lakhs
2022-Dec,FY 2022-23,VIR,Gross Sales,33.52,Rs. Lakhs
2022-Dec,FY 2022-23,ARK,Gross Sales,27.83,Rs. Lakhs
2022-Dec,FY 2022-23,SIG,Gross Sales,20.96,Rs. Lakhs
2022-Dec,FY 2022-23,HSR,Gross Sales,45.43,Rs. Lakhs
2022-Dec,FY 2022-23,CVR,Gross Sales,9.11,Rs. Lakhs
2022-Dec,FY 2022-23,ORW,Gross Sales,26.01,Rs. Lakhs
2022-Dec,FY 2022-23,EST,Gross Sales,15.89,Rs. Lakhs
2022-Dec,FY 2022-23,JPN,Gross Sales,31.99,Rs. Lakhs
2022-Dec,FY 2022-23,SYH,Gross Sales,25.97,Rs. Lakhs
2022-Dec,FY 2022-23,ETF,Gross Sales,10.3,Rs. Lakhs
2022-Dec,FY 2022-23,GSC,Gross Sales,6.18,Rs. Lakhs
2022-Dec,FY 2022-23,ECN,Gross Sales,19.4,Rs. Lakhs
2022-Dec,FY 2022-23,RGA,Gross Sales,10.78,Rs. Lakhs
2022-Dec,FY 2022-23,KCK,Gross Sales,22.36,Rs. Lakhs
2022-Dec,FY 2022-23,BVG,Gross Sales,16.68,Rs. Lakhs
2022-Dec,FY 2022-23,CLA,Gross Sales,18.43,Rs. Lakhs
2022-Dec,FY 2022-23,IBC,Gross Sales,3.68,Rs. Lakhs
2022-Dec,FY 2022-23,VBP,Gross Sales,24.62,Rs. Lakhs
2022-Dec,FY 2022-23,ADM,Gross Sales,37.07,Rs. Lakhs
2022-Dec,FY 2022-23,SFC,Gross Sales,22.97,Rs. Lakhs
2022-Dec,FY 2022-23,SCK,Gross Sales,22.55,Rs. Lakhs
2022-Dec,FY 2022-23,SES,Gross Sales,13.21,Rs. Lakhs
2022-Dec,FY 2022-23,JIG,Gross Sales,18.16,Rs. Lakhs
2022-Dec,FY 2022-23,GCN,Gross Sales,13.96,Rs. Lakhs
2022-Dec,FY 2022-23,ANN,Gross Sales,15.48,Rs. Lakhs
2022-Dec,FY 2022-23,SKO,Gross Sales,19.54,Rs. Lakhs
2022-Dec,FY 2022-23,IHY,Gross Sales,35.88,Rs. Lakhs
2022-Dec,FY 2022-23,DCH,Gross Sales,11.77,Rs. Lakhs
2022-Dec,FY 2022-23,HAA,Gross Sales,20.74,Rs. Lakhs
2022-Dec,FY 2022-23,SCH,Gross Sales,33.43,Rs. Lakhs
2022-Dec,FY 2022-23,LTP,Gross Sales,17.54,Rs. Lakhs
2022-Dec,FY 2022-23,FSM,Gross Sales,25.54,Rs. Lakhs
2022-Dec,FY 2022-23,GSM,Gross Sales,14.29,Rs. Lakhs
2022-Dec,FY 2022-23,PPM,Gross Sales,20.5,Rs. Lakhs
2022-Dec,FY 2022-23,FLM,Gross Sales,20.4,Rs. Lakhs
2022-Dec,FY 2022-23,FDN,Gross Sales,31.03,Rs. Lakhs
2022-Dec,FY 2022-23,DTK,Gross Sales,23.96,Rs. Lakhs
2022-Dec,FY 2022-23,EGL,GST,0.25,Rs. Lakhs
2022-Dec,FY 2022-23,ITPL,GST,0.86,Rs. Lakhs
2022-Dec,FY 2022-23,KOR,GST,0.33,Rs. Lakhs
2022-Dec,FY 2022-23,DIV,GST,0.35,Rs. Lakhs
2022-Dec,FY 2022-23,IND,GST,0.4,Rs. Lakhs
2022-Dec,FY 2022-23,MAN,GST,0.62,Rs. Lakhs
2022-Dec,FY 2022-23,MTP,GST,0.24,Rs. Lakhs
2022-Dec,FY 2022-23,VIR,GST,0.85,Rs. Lakhs
2022-Dec,FY 2022-23,ARK,GST,0.32,Rs. Lakhs
2022-Dec,FY 2022-23,SIG,GST,0.45,Rs. Lakhs
2022-Dec,FY 2022-23,HSR,GST,0.48,Rs. Lakhs
2022-Dec,FY 2022-23,CVR,GST,0.43,Rs. Lakhs
2022-Dec,FY 2022-23,ORW,GST,0.83,Rs. Lakhs
2022-Dec,FY 2022-23,EST,GST,0.19,Rs. Lakhs
2022-Dec,FY 2022-23,JPN,GST,0.43,Rs. Lakhs
2022-Dec,FY 2022-23,SYH,GST,0.3,Rs. Lakhs
2022-Dec,FY 2022-23,ETF,GST,0.49,Rs. Lakhs
2022-Dec,FY 2022-23,GSC,GST,0.29,Rs. Lakhs
2022-Dec,FY 2022-23,ECN,GST,0.41,Rs. Lakhs
2022-Dec,FY 2022-23,RGA,GST,0.09,Rs. Lakhs
2022-Dec,FY 2022-23,KCK,GST,,Rs. Lakhs
2022-Dec,FY 2022-23,BVG,GST,0.28,Rs. Lakhs
2022-Dec,FY 2022-23,CLA,GST,0.02,Rs. Lakhs
2022-Dec,FY 2022-23,IBC,GST,0.18,Rs. Lakhs
2022-Dec,FY 2022-23,VBP,GST,0.31,Rs. Lakhs
2022-Dec,FY 2022-23,ADM,GST,0.23,Rs. Lakhs
2022-Dec,FY 2022-23,SFC,GST,,Rs. Lakhs
2022-Dec,FY 2022-23,SCK,GST,0.01,Rs. Lakhs
2022-Dec,FY 2022-23,SES,GST,,Rs. Lakhs
2022-Dec,FY 2022-23,JIG,GST,0.16,Rs. Lakhs
2022-Dec,FY 2022-23,GCN,GST,0.21,Rs. Lakhs
2022-Dec,FY 2022-23,ANN,GST,0.33,Rs. Lakhs
2022-Dec,FY 2022-23,SKO,GST,0.35,Rs. Lakhs
2022-Dec,FY 2022-23,IHY,GST,1.23,Rs. Lakhs
2022-Dec,FY 2022-23,DCH,GST,0.56,Rs. Lakhs
2022-Dec,FY 2022-23,HAA,GST,0.99,Rs. Lakhs
2022-Dec,FY 2022-23,SCH,GST,0.9,Rs. Lakhs
2022-Dec,FY 2022-23,LTP,GST,0.37,Rs. Lakhs
2022-Dec,FY 2022-23,FSM,GST,0.81,Rs. Lakhs
2022-Dec,FY 2022-23,GSM,GST,0.26,Rs. Lakhs
2022-Dec,FY 2022-23,PPM,GST,0.37,Rs. Lakhs
2022-Dec,FY 2022-23,FLM,GST,0.19,Rs. Lakhs
2022-Dec,FY 2022-23,FDN,GST,0.45,Rs. Lakhs
2022-Dec,FY 2022-23,DTK,GST,0.36,Rs. Lakhs
2022-Dec,FY 2022-23,EGL,Net Sales,4.96,Rs. Lakhs
2022-Dec,FY 2022-23,ITPL,Net Sales,45.76,Rs. Lakhs
2022-Dec,FY 2022-23,KOR,Net Sales,25.33,Rs. Lakhs
2022-Dec,FY 2022-23,DIV,Net Sales,22.46,Rs. Lakhs
2022-Dec,FY 2022-23,IND,Net Sales,36.96,Rs. Lakhs
2022-Dec,FY 2022-23,MAN,Net Sales,18.7,Rs. Lakhs
2022-Dec,FY 2022-23,MTP,Net Sales,4.79,Rs. Lakhs
2022-Dec,FY 2022-23,VIR,Net Sales,32.67,Rs. Lakhs
2022-Dec,FY 2022-23,ARK,Net Sales,27.51,Rs. Lakhs
2022-Dec,FY 2022-23,SIG,Net Sales,20.5,Rs. Lakhs
2022-Dec,FY 2022-23,HSR,Net Sales,44.94,Rs. Lakhs
2022-Dec,FY 2022-23,CVR,Net Sales,8.67,Rs. Lakhs
2022-Dec,FY 2022-23,ORW,Net Sales,25.18,Rs. Lakhs
2022-Dec,FY 2022-23,EST,Net Sales,15.7,Rs. Lakhs
2022-Dec,FY 2022-23,JPN,Net Sales,31.56,Rs. Lakhs
2022-Dec,FY 2022-23,SYH,Net Sales,25.67,Rs. Lakhs
2022-Dec,FY 2022-23,ETF,Net Sales,9.81,Rs. Lakhs
2022-Dec,FY 2022-23,GSC,Net Sales,5.89,Rs. Lakhs
2022-Dec,FY 2022-23,ECN,Net Sales,18.99,Rs. Lakhs
2022-Dec,FY 2022-23,RGA,Net Sales,10.69,Rs. Lakhs
2022-Dec,FY 2022-23,KCK,Net Sales,22.36,Rs. Lakhs
2022-Dec,FY 2022-23,BVG,Net Sales,16.39,Rs. Lakhs
2022-Dec,FY 2022-23,CLA,Net Sales,18.41,Rs. Lakhs
2022-Dec,FY 2022-23,IBC,Net Sales,3.5,Rs. Lakhs
2022-Dec,FY 2022-23,VBP,Net Sales,24.31,Rs. Lakhs
2022-Dec,FY 2022-23,ADM,Net Sales,36.84,Rs. Lakhs
2022-Dec,FY 2022-23,SFC,Net Sales,22.97,Rs. Lakhs
2022-Dec,FY 2022-23,SCK,Net Sales,22.55,Rs. Lakhs
2022-Dec,FY 2022-23,SES,Net Sales,13.21,Rs. Lakhs
2022-Dec,FY 2022-23,JIG,Net Sales,18,Rs. Lakhs
2022-Dec,FY 2022-23,GCN,Net Sales,13.76,Rs. Lakhs
2022-Dec,FY 2022-23,ANN,Net Sales,15.15,Rs. Lakhs
2022-Dec,FY 2022-23,SKO,Net Sales,19.2,Rs. Lakhs
2022-Dec,FY 2022-23,IHY,Net Sales,34.65,Rs. Lakhs
2022-Dec,FY 2022-23,DCH,Net Sales,11.21,Rs. Lakhs
2022-Dec,FY 2022-23,HAA,Net Sales,19.75,Rs. Lakhs
2022-Dec,FY 2022-23,SCH,Net Sales,32.53,Rs. Lakhs
2022-Dec,FY 2022-23,LTP,Net Sales,17.18,Rs. Lakhs
2022-Dec,FY 2022-23,FSM,Net Sales,24.74,Rs. Lakhs
2022-Dec,FY 2022-23,GSM,Net Sales,14.03,Rs. Lakhs
2022-Dec,FY 2022-23,PPM,Net Sales,20.13,Rs. Lakhs
2022-Dec,FY 2022-23,FLM,Net Sales,20.21,Rs. Lakhs
2022-Dec,FY 2022-23,FDN,Net Sales,30.58,Rs. Lakhs
2022-Dec,FY 2022-23,DTK,Net Sales,23.6,Rs. Lakhs
2022-Dec,FY 2022-23,EGL,COGS (food +packaging),1.57,Rs. Lakhs
2022-Dec,FY 2022-23,ITPL,COGS (food +packaging),19.26,Rs. Lakhs
2022-Dec,FY 2022-23,KOR,COGS (food +packaging),10.08,Rs. Lakhs
2022-Dec,FY 2022-23,DIV,COGS (food +packaging),8.88,Rs. Lakhs
2022-Dec,FY 2022-23,IND,COGS (food +packaging),15,Rs. Lakhs
2022-Dec,FY 2022-23,MAN,COGS (food +packaging),7.5,Rs. Lakhs
2022-Dec,FY 2022-23,MTP,COGS (food +packaging),1.52,Rs. Lakhs
2022-Dec,FY 2022-23,VIR,COGS (food +packaging),12.06,Rs. Lakhs
2022-Dec,FY 2022-23,ARK,COGS (food +packaging),10.61,Rs. Lakhs
2022-Dec,FY 2022-23,SIG,COGS (food +packaging),7.03,Rs. Lakhs
2022-Dec,FY 2022-23,HSR,COGS (food +packaging),17.29,Rs. Lakhs
2022-Dec,FY 2022-23,CVR,COGS (food +packaging),2.7,Rs. Lakhs
2022-Dec,FY 2022-23,ORW,COGS (food +packaging),9.4,Rs. Lakhs
2022-Dec,FY 2022-23,EST,COGS (food +packaging),5.53,Rs. Lakhs
2022-Dec,FY 2022-23,JPN,COGS (food +packaging),12.42,Rs. Lakhs
2022-Dec,FY 2022-23,SYH,COGS (food +packaging),10.71,Rs. Lakhs
2022-Dec,FY 2022-23,ETF,COGS (food +packaging),3.11,Rs. Lakhs
2022-Dec,FY 2022-23,GSC,COGS (food +packaging),2.39,Rs. Lakhs
2022-Dec,FY 2022-23,ECN,COGS (food +packaging),6.43,Rs. Lakhs
2022-Dec,FY 2022-23,RGA,COGS (food +packaging),3.87,Rs. Lakhs
2022-Dec,FY 2022-23,KCK,COGS (food +packaging),8.94,Rs. Lakhs
2022-Dec,FY 2022-23,BVG,COGS (food +packaging),6.67,Rs. Lakhs
2022-Dec,FY 2022-23,CLA,COGS (food +packaging),7.07,Rs. Lakhs
2022-Dec,FY 2022-23,IBC,COGS (food +packaging),1.1,Rs. Lakhs
2022-Dec,FY 2022-23,VBP,COGS (food +packaging),9.54,Rs. Lakhs
2022-Dec,FY 2022-23,ADM,COGS (food +packaging),14.32,Rs. Lakhs
2022-Dec,FY 2022-23,SFC,COGS (food +packaging),8.95,Rs. Lakhs
2022-Dec,FY 2022-23,SCK,COGS (food +packaging),9.52,Rs. Lakhs
2022-Dec,FY 2022-23,SES,COGS (food +packaging),5.48,Rs. Lakhs
2022-Dec,FY 2022-23,JIG,COGS (food +packaging),8.01,Rs. Lakhs
2022-Dec,FY 2022-23,GCN,COGS (food +packaging),6.26,Rs. Lakhs
2022-Dec,FY 2022-23,ANN,COGS (food +packaging),6.56,Rs. Lakhs
2022-Dec,FY 2022-23,SKO,COGS (food +packaging),8.35,Rs. Lakhs
2022-Dec,FY 2022-23,IHY,COGS (food +packaging),13.65,Rs. Lakhs
2022-Dec,FY 2022-23,DCH,COGS (food +packaging),4.52,Rs. Lakhs
2022-Dec,FY 2022-23,HAA,COGS (food +packaging),7.39,Rs. Lakhs
2022-Dec,FY 2022-23,SCH,COGS (food +packaging),12,Rs. Lakhs
2022-Dec,FY 2022-23,LTP,COGS (food +packaging),7.38,Rs. Lakhs
2022-Dec,FY 2022-23,FSM,COGS (food +packaging),9.85,Rs. Lakhs
2022-Dec,FY 2022-23,GSM,COGS (food +packaging),5.71,Rs. Lakhs
2022-Dec,FY 2022-23,PPM,COGS (food +packaging),7.69,Rs. Lakhs
2022-Dec,FY 2022-23,FLM,COGS (food +packaging),8.72,Rs. Lakhs
2022-Dec,FY 2022-23,FDN,COGS (food +packaging),11.62,Rs. Lakhs
2022-Dec,FY 2022-23,DTK,COGS (food +packaging),9.3,Rs. Lakhs
2022-Dec,FY 2022-23,EGL,store Labor Cost,1.61,Rs. Lakhs
2022-Dec,FY 2022-23,ITPL,store Labor Cost,4.31,Rs. Lakhs
2022-Dec,FY 2022-23,KOR,store Labor Cost,2.59,Rs. Lakhs
2022-Dec,FY 2022-23,DIV,store Labor Cost,2.92,Rs. Lakhs
2022-Dec,FY 2022-23,IND,store Labor Cost,4.65,Rs. Lakhs
2022-Dec,FY 2022-23,MAN,store Labor Cost,2.46,Rs. Lakhs
2022-Dec,FY 2022-23,MTP,store Labor Cost,1.43,Rs. Lakhs
2022-Dec,FY 2022-23,VIR,store Labor Cost,3.01,Rs. Lakhs
2022-Dec,FY 2022-23,ARK,store Labor Cost,3.05,Rs. Lakhs
2022-Dec,FY 2022-23,SIG,store Labor Cost,2.65,Rs. Lakhs
2022-Dec,FY 2022-23,HSR,store Labor Cost,3.48,Rs. Lakhs
2022-Dec,FY 2022-23,CVR,store Labor Cost,2.26,Rs. Lakhs
2022-Dec,FY 2022-23,ORW,store Labor Cost,2.9,Rs. Lakhs
2022-Dec,FY 2022-23,EST,store Labor Cost,3.01,Rs. Lakhs
2022-Dec,FY 2022-23,JPN,store Labor Cost,3.37,Rs. Lakhs
2022-Dec,FY 2022-23,SYH,store Labor Cost,3.08,Rs. Lakhs
2022-Dec,FY 2022-23,ETF,store Labor Cost,1.77,Rs. Lakhs
2022-Dec,FY 2022-23,GSC,store Labor Cost,2.39,Rs. Lakhs
2022-Dec,FY 2022-23,ECN,store Labor Cost,2.84,Rs. Lakhs
2022-Dec,FY 2022-23,RGA,store Labor Cost,1.81,Rs. Lakhs
2022-Dec,FY 2022-23,KCK,store Labor Cost,2.6,Rs. Lakhs
2022-Dec,FY 2022-23,BVG,store Labor Cost,2.83,Rs. Lakhs
2022-Dec,FY 2022-23,CLA,store Labor Cost,2.3,Rs. Lakhs
2022-Dec,FY 2022-23,IBC,store Labor Cost,1.58,Rs. Lakhs
2022-Dec,FY 2022-23,VBP,store Labor Cost,2.75,Rs. Lakhs
2022-Dec,FY 2022-23,ADM,store Labor Cost,4.1,Rs. Lakhs
2022-Dec,FY 2022-23,SFC,store Labor Cost,2.39,Rs. Lakhs
2022-Dec,FY 2022-23,SCK,store Labor Cost,2.38,Rs. Lakhs
2022-Dec,FY 2022-23,SES,store Labor Cost,2.48,Rs. Lakhs
2022-Dec,FY 2022-23,JIG,store Labor Cost,3.11,Rs. Lakhs
2022-Dec,FY 2022-23,GCN,store Labor Cost,2.93,Rs. Lakhs
2022-Dec,FY 2022-23,ANN,store Labor Cost,2.48,Rs. Lakhs
2022-Dec,FY 2022-23,SKO,store Labor Cost,2.96,Rs. Lakhs
2022-Dec,FY 2022-23,IHY,store Labor Cost,3.01,Rs. Lakhs
2022-Dec,FY 2022-23,DCH,store Labor Cost,1.57,Rs. Lakhs
2022-Dec,FY 2022-23,HAA,store Labor Cost,3.38,Rs. Lakhs
2022-Dec,FY 2022-23,SCH,store Labor Cost,3.61,Rs. Lakhs
2022-Dec,FY 2022-23,LTP,store Labor Cost,2.42,Rs. Lakhs
2022-Dec,FY 2022-23,FSM,store Labor Cost,3.34,Rs. Lakhs
2022-Dec,FY 2022-23,GSM,store Labor Cost,2.33,Rs. Lakhs
2022-Dec,FY 2022-23,PPM,store Labor Cost,2.75,Rs. Lakhs
2022-Dec,FY 2022-23,FLM,store Labor Cost,3.3,Rs. Lakhs
2022-Dec,FY 2022-23,FDN,store Labor Cost,3.44,Rs. Lakhs
2022-Dec,FY 2022-23,DTK,store Labor Cost,3.47,Rs. Lakhs
2022-Dec,FY 2022-23,EGL,Utility Cost,0.47,Rs. Lakhs
2022-Dec,FY 2022-23,ITPL,Utility Cost,1.21,Rs. Lakhs
2022-Dec,FY 2022-23,KOR,Utility Cost,1.15,Rs. Lakhs
2022-Dec,FY 2022-23,DIV,Utility Cost,1.54,Rs. Lakhs
2022-Dec,FY 2022-23,IND,Utility Cost,1.57,Rs. Lakhs
2022-Dec,FY 2022-23,MAN,Utility Cost,0.76,Rs. Lakhs
2022-Dec,FY 2022-23,MTP,Utility Cost,0.49,Rs. Lakhs
2022-Dec,FY 2022-23,VIR,Utility Cost,1.28,Rs. Lakhs
2022-Dec,FY 2022-23,ARK,Utility Cost,1.79,Rs. Lakhs
2022-Dec,FY 2022-23,SIG,Utility Cost,1.09,Rs. Lakhs
2022-Dec,FY 2022-23,HSR,Utility Cost,1.65,Rs. Lakhs
2022-Dec,FY 2022-23,CVR,Utility Cost,0.95,Rs. Lakhs
2022-Dec,FY 2022-23,SJP,Utility Cost,0.12,Rs. Lakhs
2022-Dec,FY 2022-23,ORW,Utility Cost,0.7,Rs. Lakhs
2022-Dec,FY 2022-23,EST,Utility Cost,1.24,Rs. Lakhs
2022-Dec,FY 2022-23,JPN,Utility Cost,1.67,Rs. Lakhs
2022-Dec,FY 2022-23,SYH,Utility Cost,1.42,Rs. Lakhs
2022-Dec,FY 2022-23,ETF,Utility Cost,0.57,Rs. Lakhs
2022-Dec,FY 2022-23,PRI,Utility Cost,0.1,Rs. Lakhs
2022-Dec,FY 2022-23,ECN,Utility Cost,0.85,Rs. Lakhs
2022-Dec,FY 2022-23,RGA,Utility Cost,0.75,Rs. Lakhs
2022-Dec,FY 2022-23,KCK,Utility Cost,1.22,Rs. Lakhs
2022-Dec,FY 2022-23,BVG,Utility Cost,0.89,Rs. Lakhs
2022-Dec,FY 2022-23,CLA,Utility Cost,0.88,Rs. Lakhs
2022-Dec,FY 2022-23,IBC,Utility Cost,0.54,Rs. Lakhs
2022-Dec,FY 2022-23,VBP,Utility Cost,0.83,Rs. Lakhs
2022-Dec,FY 2022-23,ADM,Utility Cost,0.91,Rs. Lakhs
2022-Dec,FY 2022-23,SFC,Utility Cost,0.94,Rs. Lakhs
2022-Dec,FY 2022-23,SCK,Utility Cost,1.05,Rs. Lakhs
2022-Dec,FY 2022-23,SES,Utility Cost,0.58,Rs. Lakhs
2022-Dec,FY 2022-23,JIG,Utility Cost,1.21,Rs. Lakhs
2022-Dec,FY 2022-23,GCN,Utility Cost,1,Rs. Lakhs
2022-Dec,FY 2022-23,ANN,Utility Cost,1.01,Rs. Lakhs
2022-Dec,FY 2022-23,SKO,Utility Cost,1.15,Rs. Lakhs
2022-Dec,FY 2022-23,IHY,Utility Cost,1.04,Rs. Lakhs
2022-Dec,FY 2022-23,HAA,Utility Cost,1.07,Rs. Lakhs
2022-Dec,FY 2022-23,SCH,Utility Cost,1.17,Rs. Lakhs
2022-Dec,FY 2022-23,LTP,Utility Cost,1.48,Rs. Lakhs
2022-Dec,FY 2022-23,FSM,Utility Cost,0.73,Rs. Lakhs
2022-Dec,FY 2022-23,GSM,Utility Cost,0.61,Rs. Lakhs
2022-Dec,FY 2022-23,PPM,Utility Cost,0.8,Rs. Lakhs
2022-Dec,FY 2022-23,FLM,Utility Cost,1.18,Rs. Lakhs
2022-Dec,FY 2022-23,FDN,Utility Cost,1.03,Rs. Lakhs
2022-Dec,FY 2022-23,DTK,Utility Cost,0.96,Rs. Lakhs
2022-Dec,FY 2022-23,EGL,Rent,0.7,Rs. Lakhs
2022-Dec,FY 2022-23,ITPL,Rent,4.41,Rs. Lakhs
2022-Dec,FY 2022-23,KOR,Rent,1.3,Rs. Lakhs
2022-Dec,FY 2022-23,DIV,Rent,1.02,Rs. Lakhs
2022-Dec,FY 2022-23,IND,Rent,1.39,Rs. Lakhs
2022-Dec,FY 2022-23,MAN,Rent,2.21,Rs. Lakhs
2022-Dec,FY 2022-23,MTP,Rent,0.68,Rs. Lakhs
2022-Dec,FY 2022-23,VIR,Rent,1,Rs. Lakhs
2022-Dec,FY 2022-23,ARK,Rent,1.36,Rs. Lakhs
2022-Dec,FY 2022-23,SIG,Rent,1.59,Rs. Lakhs
2022-Dec,FY 2022-23,HSR,Rent,1.94,Rs. Lakhs
2022-Dec,FY 2022-23,CVR,Rent,1,Rs. Lakhs
2022-Dec,FY 2022-23,SJP,Rent,0.04,Rs. Lakhs
2022-Dec,FY 2022-23,ORW,Rent,3.95,Rs. Lakhs
2022-Dec,FY 2022-23,EST,Rent,1.5,Rs. Lakhs
2022-Dec,FY 2022-23,JPN,Rent,3.16,Rs. Lakhs
2022-Dec,FY 2022-23,SYH,Rent,3.05,Rs. Lakhs
2022-Dec,FY 2022-23,ETF,Rent,1.39,Rs. Lakhs
2022-Dec,FY 2022-23,GSC,Rent,0.69,Rs. Lakhs
2022-Dec,FY 2022-23,ECN,Rent,2.02,Rs. Lakhs
2022-Dec,FY 2022-23,RGA,Rent,0.35,Rs. Lakhs
2022-Dec,FY 2022-23,KCK,Rent,0.41,Rs. Lakhs
2022-Dec,FY 2022-23,BVG,Rent,1.27,Rs. Lakhs
2022-Dec,FY 2022-23,CLA,Rent,0.33,Rs. Lakhs
2022-Dec,FY 2022-23,IBC,Rent,0.73,Rs. Lakhs
2022-Dec,FY 2022-23,VBP,Rent,2.67,Rs. Lakhs
2022-Dec,FY 2022-23,ADM,Rent,2.93,Rs. Lakhs
2022-Dec,FY 2022-23,SFC,Rent,0.43,Rs. Lakhs
2022-Dec,FY 2022-23,SCK,Rent,0.4,Rs. Lakhs
2022-Dec,FY 2022-23,SES,Rent,0.3,Rs. Lakhs
2022-Dec,FY 2022-23,JIG,Rent,1.45,Rs. Lakhs
2022-Dec,FY 2022-23,GCN,Rent,1.84,Rs. Lakhs
2022-Dec,FY 2022-23,ANN,Rent,1.74,Rs. Lakhs
2022-Dec,FY 2022-23,SKO,Rent,2.12,Rs. Lakhs
2022-Dec,FY 2022-23,IHY,Rent,5.43,Rs. Lakhs
