Month,FY,Store,Metric,Amount,AmountUnit
2021-Apr,FY 2021-22,HSR,COGS (food +packaging),7.67,Rs. Lakhs
2021-Apr,FY 2021-22,SJP,COGS (food +packaging),8.08,Rs. Lakhs
2021-Apr,FY 2021-22,ORW,COGS (food +packaging),3.7,Rs. Lakhs
2021-Apr,FY 2021-22,EST,COGS (food +packaging),3.9,Rs. Lakhs
2021-Apr,FY 2021-22,ORE,COGS (food +packaging),3.23,Rs. Lakhs
2021-Apr,FY 2021-22,JPN,COGS (food +packaging),7.45,Rs. Lakhs
2021-Apr,FY 2021-22,SYH,COGS (food +packaging),6.6,Rs. Lakhs
2021-Apr,FY 2021-22,GSC,COGS (food +packaging),0.06,Rs. Lakhs
2021-Apr,FY 2021-22,VBP,COGS (food +packaging),5.38,Rs. Lakhs
2021-Apr,FY 2021-22,SKC,COGS (food +packaging),3.36,Rs. Lakhs
2021-Apr,FY 2021-22,IHY,COGS (food +packaging),5.05,Rs. Lakhs
2021-Apr,FY 2021-22,HAA,COGS (food +packaging),2.73,Rs. Lakhs
2021-Apr,FY 2021-22,SCH,COGS (food +packaging),1.62,Rs. Lakhs
2021-Apr,FY 2021-22,ITPL,store Labor Cost,1.26,Rs. Lakhs
2021-Apr,FY 2021-22,KOR,store Labor Cost,1.83,Rs. Lakhs
2021-Apr,FY 2021-22,INB,store Labor Cost,1.89,Rs. Lakhs
2021-Apr,FY 2021-22,DIV,store Labor Cost,2.13,Rs. Lakhs
2021-Apr,FY 2021-22,IND,store Labor Cost,2.81,Rs. Lakhs
2021-Apr,FY 2021-22,MAN,store Labor Cost,0.91,Rs. Lakhs
2021-Apr,FY 2021-22,ARK,store Labor Cost,2.15,Rs. Lakhs
2021-Apr,FY 2021-22,SIG,store Labor Cost,1.69,Rs. Lakhs
2021-Apr,FY 2021-22,HSR,store Labor Cost,2.53,Rs. Lakhs
2021-Apr,FY 2021-22,SJP,store Labor Cost,2.74,Rs. Lakhs
2021-Apr,FY 2021-22,ORW,store Labor Cost,1.81,Rs. Lakhs
2021-Apr,FY 2021-22,EST,store Labor Cost,1.91,Rs. Lakhs
2021-Apr,FY 2021-22,ORE,store Labor Cost,1.64,Rs. Lakhs
2021-Apr,FY 2021-22,JPN,store Labor Cost,2.57,Rs. Lakhs
2021-Apr,FY 2021-22,SYH,store Labor Cost,2.05,Rs. Lakhs
2021-Apr,FY 2021-22,VBP,store Labor Cost,2.11,Rs. Lakhs
2021-Apr,FY 2021-22,SKC,store Labor Cost,1.95,Rs. Lakhs
2021-Apr,FY 2021-22,IHY,store Labor Cost,2.12,Rs. Lakhs
2021-Apr,FY 2021-22,HAA,store Labor Cost,1.61,Rs. Lakhs
2021-Apr,FY 2021-22,SCH,store Labor Cost,1.62,Rs. Lakhs
2021-Apr,FY 2021-22,ITPL,Utility Cost,0.57,Rs. Lakhs
2021-Apr,FY 2021-22,RMZ,Utility Cost,0.1,Rs. Lakhs
2021-Apr,FY 2021-22,KOR,Utility Cost,0.85,Rs. Lakhs
2021-Apr,FY 2021-22,INB,Utility Cost,0.48,Rs. Lakhs
2021-Apr,FY 2021-22,DIV,Utility Cost,1.3,Rs. Lakhs
2021-Apr,FY 2021-22,IND,Utility Cost,1.16,Rs. Lakhs
2021-Apr,FY 2021-22,MAN,Utility Cost,0.75,Rs. Lakhs
2021-Apr,FY 2021-22,ETV,Utility Cost,0.05,Rs. Lakhs
2021-Apr,FY 2021-22,ARK,Utility Cost,1.18,Rs. Lakhs
2021-Apr,FY 2021-22,SIG,Utility Cost,0.81,Rs. Lakhs
2021-Apr,FY 2021-22,HSR,Utility Cost,1.13,Rs. Lakhs
2021-Apr,FY 2021-22,SJP,Utility Cost,1.2,Rs. Lakhs
2021-Apr,FY 2021-22,ORW,Utility Cost,0.73,Rs. Lakhs
2021-Apr,FY 2021-22,EST,Utility Cost,0.96,Rs. Lakhs
2021-Apr,FY 2021-22,ORE,Utility Cost,0.45,Rs. Lakhs
2021-Apr,FY 2021-22,JPN,Utility Cost,1.25,Rs. Lakhs
2021-Apr,FY 2021-22,PTP,Utility Cost,0.07,Rs. Lakhs
2021-Apr,FY 2021-22,SEC,Utility Cost,0.05,Rs. Lakhs
2021-Apr,FY 2021-22,SYH,Utility Cost,0.83,Rs. Lakhs
2021-Apr,FY 2021-22,ETF,Utility Cost,0.08,Rs. Lakhs
2021-Apr,FY 2021-22,PRI,Utility Cost,0.01,Rs. Lakhs
2021-Apr,FY 2021-22,ECN,Utility Cost,0.13,Rs. Lakhs
2021-Apr,FY 2021-22,RGA,Utility Cost,0.1,Rs. Lakhs
2021-Apr,FY 2021-22,CTS,Utility Cost,0.1,Rs. Lakhs
2021-Apr,FY 2021-22,VBP,Utility Cost,0.78,Rs. Lakhs
2021-Apr,FY 2021-22,SKC,Utility Cost,0.76,Rs. Lakhs
2021-Apr,FY 2021-22,IHY,Utility Cost,0.68,Rs. Lakhs
2021-Apr,FY 2021-22,HAA,Utility Cost,1.18,Rs. Lakhs
2021-Apr,FY 2021-22,SCH,Utility Cost,0.38,Rs. Lakhs
2021-Apr,FY 2021-22,ITPL,Rent,1.04,Rs. Lakhs
2021-Apr,FY 2021-22,KOR,Rent,0.71,Rs. Lakhs
2021-Apr,FY 2021-22,INB,Rent,0.89,Rs. Lakhs
2021-Apr,FY 2021-22,DIV,Rent,0.51,Rs. Lakhs
2021-Apr,FY 2021-22,IND,Rent,1.1,Rs. Lakhs
2021-Apr,FY 2021-22,MAN,Rent,1.78,Rs. Lakhs
2021-Apr,FY 2021-22,ARK,Rent,1.32,Rs. Lakhs
2021-Apr,FY 2021-22,SIG,Rent,1.07,Rs. Lakhs
2021-Apr,FY 2021-22,HSR,Rent,1.37,Rs. Lakhs
2021-Apr,FY 2021-22,SJP,Rent,1.48,Rs. Lakhs
2021-Apr,FY 2021-22,ORW,Rent,1.68,Rs. Lakhs
2021-Apr,FY 2021-22,EST,Rent,0.71,Rs. Lakhs
2021-Apr,FY 2021-22,ORE,Rent,0.69,Rs. Lakhs
2021-Apr,FY 2021-22,JPN,Rent,1.95,Rs. Lakhs
2021-Apr,FY 2021-22,SEC,Rent,0.27,Rs. Lakhs
2021-Apr,FY 2021-22,SYH,Rent,0.21,Rs. Lakhs
2021-Apr,FY 2021-22,VBP,Rent,1.36,Rs. Lakhs
