Metric,Store,Month-Year,FY,Amount (in lakhs)
store Labor Cost,FDN,November 2022,FY23,3.21
Utility Cost,FDN,November 2022,FY23,1.11
Rent,FDN,November 2022,FY23,2.1
CAM,FDN,November 2022,FY23,0.28
Aggregator commission,FDN,November 2022,FY23,4.55
Marketing & advertisement,FDN,November 2022,FY23,1.43
Interest cost,FDN,November 2022,FY23,
Gross Sales,DTK,November 2022,FY23,22.47
GST,DTK,November 2022,FY23,0.37
Net Sales,DTK,November 2022,FY23,22.1
COGS (food +packaging),DTK,November 2022,FY23,8.88
store Labor Cost,DTK,November 2022,FY23,3.54
Utility Cost,DTK,November 2022,FY23,0.96
Rent,DTK,November 2022,FY23,2.0
CAM,DTK,November 2022,FY23,0.39
Aggregator commission,DTK,November 2022,FY23,3.2
Marketing & advertisement,DTK,November 2022,FY23,1.11
Interest cost,DTK,November 2022,FY23,
Gross Sales,EGL,December 2022,FY23,5.2
GST,EGL,December 2022,FY23,0.25
Net Sales,EGL,December 2022,FY23,4.96
COGS (food +packaging),EGL,December 2022,FY23,1.57
store Labor Cost,EGL,December 2022,FY23,1.61
Utility Cost,EGL,December 2022,FY23,0.47
Rent,EGL,December 2022,FY23,0.7
CAM,EGL,December 2022,FY23,
Aggregator commission,EGL,December 2022,FY23,0.0
Marketing & advertisement,EGL,December 2022,FY23,0.2
Interest cost,EGL,December 2022,FY23,
Gross Sales,ITPL,December 2022,FY23,46.62
GST,ITPL,December 2022,FY23,0.86
Net Sales,ITPL,December 2022,FY23,45.76
COGS (food +packaging),ITPL,December 2022,FY23,19.26
store Labor Cost,ITPL,December 2022,FY23,4.31
Utility Cost,ITPL,December 2022,FY23,1.21
Rent,ITPL,December 2022,FY23,4.41
CAM,ITPL,December 2022,FY23,0.0
Aggregator commission,ITPL,December 2022,FY23,6.18
Marketing & advertisement,ITPL,December 2022,FY23,1.2
Interest cost,ITPL,December 2022,FY23,
Gross Sales,RMZ,December 2022,FY23,
GST,RMZ,December 2022,FY23,
Net Sales,RMZ,December 2022,FY23,
COGS (food +packaging),RMZ,December 2022,FY23,0.0
store Labor Cost,RMZ,December 2022,FY23,0.0
Utility Cost,RMZ,December 2022,FY23,0.0
Rent,RMZ,December 2022,FY23,0.0
CAM,RMZ,December 2022,FY23,
Aggregator commission,RMZ,December 2022,FY23,
Marketing & advertisement,RMZ,December 2022,FY23,
Interest cost,RMZ,December 2022,FY23,
Gross Sales,KOR,December 2022,FY23,25.65
GST,KOR,December 2022,FY23,0.33
Net Sales,KOR,December 2022,FY23,25.33
COGS (food +packaging),KOR,December 2022,FY23,10.08
store Labor Cost,KOR,December 2022,FY23,2.59
Utility Cost,KOR,December 2022,FY23,1.15
Rent,KOR,December 2022,FY23,1.3
CAM,KOR,December 2022,FY23,
Aggregator commission,KOR,December 2022,FY23,4.0
Marketing & advertisement,KOR,December 2022,FY23,0.83
Interest cost,KOR,December 2022,FY23,
Gross Sales,INB,December 2022,FY23,
GST,INB,December 2022,FY23,
Net Sales,INB,December 2022,FY23,
COGS (food +packaging),INB,December 2022,FY23,0.0
store Labor Cost,INB,December 2022,FY23,0.0
Utility Cost,INB,December 2022,FY23,0.0
Rent,INB,December 2022,FY23,
CAM,INB,December 2022,FY23,
Aggregator commission,INB,December 2022,FY23,
Marketing & advertisement,INB,December 2022,FY23,
Interest cost,INB,December 2022,FY23,
Gross Sales,DIV,December 2022,FY23,22.81
GST,DIV,December 2022,FY23,0.35
Net Sales,DIV,December 2022,FY23,22.46
COGS (food +packaging),DIV,December 2022,FY23,8.88
store Labor Cost,DIV,December 2022,FY23,2.92
Utility Cost,DIV,December 2022,FY23,1.54
Rent,DIV,December 2022,FY23,1.02
CAM,DIV,December 2022,FY23,0.14
Aggregator commission,DIV,December 2022,FY23,3.29
Marketing & advertisement,DIV,December 2022,FY23,1.06
Interest cost,DIV,December 2022,FY23,
Gross Sales,IND,December 2022,FY23,37.36
GST,IND,December 2022,FY23,0.4
Net Sales,IND,December 2022,FY23,36.96
COGS (food +packaging),IND,December 2022,FY23,15.0
store Labor Cost,IND,December 2022,FY23,4.65
Utility Cost,IND,December 2022,FY23,1.57
Rent,IND,December 2022,FY23,1.39
CAM,IND,December 2022,FY23,0.0
Aggregator commission,IND,December 2022,FY23,6.39
Marketing & advertisement,IND,December 2022,FY23,1.25
Interest cost,IND,December 2022,FY23,
Gross Sales,BAG,December 2022,FY23,
GST,BAG,December 2022,FY23,0.0
Net Sales,BAG,December 2022,FY23,
COGS (food +packaging),BAG,December 2022,FY23,0.0
store Labor Cost,BAG,December 2022,FY23,0.0
Utility Cost,BAG,December 2022,FY23,0.0
Rent,BAG,December 2022,FY23,0.0
CAM,BAG,December 2022,FY23,
Aggregator commission,BAG,December 2022,FY23,
Marketing & advertisement,BAG,December 2022,FY23,
Interest cost,BAG,December 2022,FY23,
Gross Sales,DLF,December 2022,FY23,
GST,DLF,December 2022,FY23,0.0
Net Sales,DLF,December 2022,FY23,
COGS (food +packaging),DLF,December 2022,FY23,0.0
store Labor Cost,DLF,December 2022,FY23,0.0
Utility Cost,DLF,December 2022,FY23,0.0
Rent,DLF,December 2022,FY23,
CAM,DLF,December 2022,FY23,0.0
Aggregator commission,DLF,December 2022,FY23,
Marketing & advertisement,DLF,December 2022,FY23,
Interest cost,DLF,December 2022,FY23,
Gross Sales,MAN,December 2022,FY23,19.32
GST,MAN,December 2022,FY23,0.62
Net Sales,MAN,December 2022,FY23,18.7
COGS (food +packaging),MAN,December 2022,FY23,7.5
store Labor Cost,MAN,December 2022,FY23,2.46
Utility Cost,MAN,December 2022,FY23,0.76
Rent,MAN,December 2022,FY23,2.21
CAM,MAN,December 2022,FY23,
Aggregator commission,MAN,December 2022,FY23,1.33
Marketing & advertisement,MAN,December 2022,FY23,0.94
Interest cost,MAN,December 2022,FY23,
Gross Sales,MTP,December 2022,FY23,5.03
GST,MTP,December 2022,FY23,0.24
Net Sales,MTP,December 2022,FY23,4.79
COGS (food +packaging),MTP,December 2022,FY23,1.52
store Labor Cost,MTP,December 2022,FY23,1.43
Utility Cost,MTP,December 2022,FY23,0.49
Rent,MTP,December 2022,FY23,0.68
CAM,MTP,December 2022,FY23,0.0
Aggregator commission,MTP,December 2022,FY23,0.0
Marketing & advertisement,MTP,December 2022,FY23,0.11
Interest cost,MTP,December 2022,FY23,
Gross Sales,ETV,December 2022,FY23,
GST,ETV,December 2022,FY23,0.0
Net Sales,ETV,December 2022,FY23,
COGS (food +packaging),ETV,December 2022,FY23,0.0
store Labor Cost,ETV,December 2022,FY23,0.0
Utility Cost,ETV,December 2022,FY23,0.0
Rent,ETV,December 2022,FY23,
CAM,ETV,December 2022,FY23,0.0
Aggregator commission,ETV,December 2022,FY23,
Marketing & advertisement,ETV,December 2022,FY23,
Interest cost,ETV,December 2022,FY23,
Gross Sales,VIR,December 2022,FY23,33.52
GST,VIR,December 2022,FY23,0.85
Net Sales,VIR,December 2022,FY23,32.67
COGS (food +packaging),VIR,December 2022,FY23,12.06
store Labor Cost,VIR,December 2022,FY23,3.01
Utility Cost,VIR,December 2022,FY23,1.28
Rent,VIR,December 2022,FY23,1.0
CAM,VIR,December 2022,FY23,
Aggregator commission,VIR,December 2022,FY23,3.3
Marketing & advertisement,VIR,December 2022,FY23,1.11
Interest cost,VIR,December 2022,FY23,
Gross Sales,ARK,December 2022,FY23,27.83
GST,ARK,December 2022,FY23,0.32
Net Sales,ARK,December 2022,FY23,27.51
COGS (food +packaging),ARK,December 2022,FY23,10.61
store Labor Cost,ARK,December 2022,FY23,3.05
Utility Cost,ARK,December 2022,FY23,1.79
Rent,ARK,December 2022,FY23,1.36
CAM,ARK,December 2022,FY23,0.0
Aggregator commission,ARK,December 2022,FY23,4.53
Marketing & advertisement,ARK,December 2022,FY23,1.05
Interest cost,ARK,December 2022,FY23,
Gross Sales,SIG,December 2022,FY23,20.96
GST,SIG,December 2022,FY23,0.45
Net Sales,SIG,December 2022,FY23,20.5
COGS (food +packaging),SIG,December 2022,FY23,7.03
store Labor Cost,SIG,December 2022,FY23,2.65
Utility Cost,SIG,December 2022,FY23,1.09
Rent,SIG,December 2022,FY23,1.59
CAM,SIG,December 2022,FY23,0.17
Aggregator commission,SIG,December 2022,FY23,2.13
Marketing & advertisement,SIG,December 2022,FY23,0.95
Interest cost,SIG,December 2022,FY23,
Gross Sales,HSR,December 2022,FY23,45.43
GST,HSR,December 2022,FY23,0.48
Net Sales,HSR,December 2022,FY23,44.94
COGS (food +packaging),HSR,December 2022,FY23,17.29
store Labor Cost,HSR,December 2022,FY23,3.48
Utility Cost,HSR,December 2022,FY23,1.65
Rent,HSR,December 2022,FY23,1.94
CAM,HSR,December 2022,FY23,0.0
Aggregator commission,HSR,December 2022,FY23,7.65
Marketing & advertisement,HSR,December 2022,FY23,1.21
Interest cost,HSR,December 2022,FY23,
Gross Sales,CVR,December 2022,FY23,9.11
GST,CVR,December 2022,FY23,0.43
Net Sales,CVR,December 2022,FY23,8.67
COGS (food +packaging),CVR,December 2022,FY23,2.7
store Labor Cost,CVR,December 2022,FY23,2.26
Utility Cost,CVR,December 2022,FY23,0.95
Rent,CVR,December 2022,FY23,1.0
CAM,CVR,December 2022,FY23,
Aggregator commission,CVR,December 2022,FY23,0.0
Marketing & advertisement,CVR,December 2022,FY23,0.15
Interest cost,CVR,December 2022,FY23,
Gross Sales,SJP,December 2022,FY23,
GST,SJP,December 2022,FY23,0.0
Net Sales,SJP,December 2022,FY23,
COGS (food +packaging),SJP,December 2022,FY23,0.0
store Labor Cost,SJP,December 2022,FY23,0.0
Utility Cost,SJP,December 2022,FY23,0.12
Rent,SJP,December 2022,FY23,0.04
CAM,SJP,December 2022,FY23,0.0
Aggregator commission,SJP,December 2022,FY23,0.0
Marketing & advertisement,SJP,December 2022,FY23,
Interest cost,SJP,December 2022,FY23,
Gross Sales,ORW,December 2022,FY23,26.01
GST,ORW,December 2022,FY23,0.83
Net Sales,ORW,December 2022,FY23,25.18
COGS (food +packaging),ORW,December 2022,FY23,9.4
store Labor Cost,ORW,December 2022,FY23,2.9
Utility Cost,ORW,December 2022,FY23,0.7
Rent,ORW,December 2022,FY23,3.95
CAM,ORW,December 2022,FY23,1.08
Aggregator commission,ORW,December 2022,FY23,1.8
Marketing & advertisement,ORW,December 2022,FY23,0.62
Interest cost,ORW,December 2022,FY23,
Gross Sales,EST,December 2022,FY23,15.89
GST,EST,December 2022,FY23,0.19
Net Sales,EST,December 2022,FY23,15.7
COGS (food +packaging),EST,December 2022,FY23,5.53
store Labor Cost,EST,December 2022,FY23,3.01
Utility Cost,EST,December 2022,FY23,1.24
Rent,EST,December 2022,FY23,1.5
CAM,EST,December 2022,FY23,0.56
Aggregator commission,EST,December 2022,FY23,2.6
Marketing & advertisement,EST,December 2022,FY23,0.78
Interest cost,EST,December 2022,FY23,
Gross Sales,ORE,December 2022,FY23,
GST,ORE,December 2022,FY23,0.0
Net Sales,ORE,December 2022,FY23,
COGS (food +packaging),ORE,December 2022,FY23,0.0
store Labor Cost,ORE,December 2022,FY23,0.0
Utility Cost,ORE,December 2022,FY23,0.0
Rent,ORE,December 2022,FY23,
CAM,ORE,December 2022,FY23,
Aggregator commission,ORE,December 2022,FY23,
Marketing & advertisement,ORE,December 2022,FY23,
Interest cost,ORE,December 2022,FY23,
Gross Sales,AUR,December 2022,FY23,
GST,AUR,December 2022,FY23,0.0
Net Sales,AUR,December 2022,FY23,
COGS (food +packaging),AUR,December 2022,FY23,0.0
store Labor Cost,AUR,December 2022,FY23,0.0
Utility Cost,AUR,December 2022,FY23,0.0
Rent,AUR,December 2022,FY23,
CAM,AUR,December 2022,FY23,
Aggregator commission,AUR,December 2022,FY23,
Marketing & advertisement,AUR,December 2022,FY23,
Interest cost,AUR,December 2022,FY23,
Gross Sales,JPN,December 2022,FY23,31.99
GST,JPN,December 2022,FY23,0.43
Net Sales,JPN,December 2022,FY23,31.56
COGS (food +packaging),JPN,December 2022,FY23,12.42
store Labor Cost,JPN,December 2022,FY23,3.37
Utility Cost,JPN,December 2022,FY23,1.67
Rent,JPN,December 2022,FY23,3.16
CAM,JPN,December 2022,FY23,0.0
Aggregator commission,JPN,December 2022,FY23,4.93
Marketing & advertisement,JPN,December 2022,FY23,1.11
Interest cost,JPN,December 2022,FY23,
Gross Sales,JPC,December 2022,FY23,
GST,JPC,December 2022,FY23,0.0
Net Sales,JPC,December 2022,FY23,
COGS (food +packaging),JPC,December 2022,FY23,0.0
store Labor Cost,JPC,December 2022,FY23,0.0
Utility Cost,JPC,December 2022,FY23,0.0
Rent,JPC,December 2022,FY23,
CAM,JPC,December 2022,FY23,
Aggregator commission,JPC,December 2022,FY23,
Marketing & advertisement,JPC,December 2022,FY23,
Interest cost,JPC,December 2022,FY23,
Gross Sales,PTP,December 2022,FY23,
GST,PTP,December 2022,FY23,0.0
Net Sales,PTP,December 2022,FY23,
COGS (food +packaging),PTP,December 2022,FY23,0.0
store Labor Cost,PTP,December 2022,FY23,0.0
Utility Cost,PTP,December 2022,FY23,0.0
Rent,PTP,December 2022,FY23,
CAM,PTP,December 2022,FY23,0.0
Aggregator commission,PTP,December 2022,FY23,
Marketing & advertisement,PTP,December 2022,FY23,
Interest cost,PTP,December 2022,FY23,
Gross Sales,SEC,December 2022,FY23,
GST,SEC,December 2022,FY23,0.0
Net Sales,SEC,December 2022,FY23,
COGS (food +packaging),SEC,December 2022,FY23,0.0
store Labor Cost,SEC,December 2022,FY23,0.0
Utility Cost,SEC,December 2022,FY23,0.0
Rent,SEC,December 2022,FY23,
CAM,SEC,December 2022,FY23,
Aggregator commission,SEC,December 2022,FY23,
Marketing & advertisement,SEC,December 2022,FY23,
Interest cost,SEC,December 2022,FY23,
Gross Sales,SYH,December 2022,FY23,25.97
GST,SYH,December 2022,FY23,0.3
Net Sales,SYH,December 2022,FY23,25.67
COGS (food +packaging),SYH,December 2022,FY23,10.71
store Labor Cost,SYH,December 2022,FY23,3.08
Utility Cost,SYH,December 2022,FY23,1.42
Rent,SYH,December 2022,FY23,3.05
CAM,SYH,December 2022,FY23,0.0
Aggregator commission,SYH,December 2022,FY23,4.3
Marketing & advertisement,SYH,December 2022,FY23,1.71
Interest cost,SYH,December 2022,FY23,
Gross Sales,ETF,December 2022,FY23,10.3
GST,ETF,December 2022,FY23,0.49
Net Sales,ETF,December 2022,FY23,9.81
COGS (food +packaging),ETF,December 2022,FY23,3.11
store Labor Cost,ETF,December 2022,FY23,1.77
Utility Cost,ETF,December 2022,FY23,0.57
Rent,ETF,December 2022,FY23,1.39
CAM,ETF,December 2022,FY23,0.0
Aggregator commission,ETF,December 2022,FY23,0.0
Marketing & advertisement,ETF,December 2022,FY23,0.11
Interest cost,ETF,December 2022,FY23,
Gross Sales,GSC,December 2022,FY23,6.18
GST,GSC,December 2022,FY23,0.29
Net Sales,GSC,December 2022,FY23,5.89
COGS (food +packaging),GSC,December 2022,FY23,2.39
store Labor Cost,GSC,December 2022,FY23,2.39
Utility Cost,GSC,December 2022,FY23,0.0
Rent,GSC,December 2022,FY23,0.69
CAM,GSC,December 2022,FY23,
Aggregator commission,GSC,December 2022,FY23,0.0
Marketing & advertisement,GSC,December 2022,FY23,0.01
Interest cost,GSC,December 2022,FY23,
Gross Sales,PRI,December 2022,FY23,
GST,PRI,December 2022,FY23,0.0
Net Sales,PRI,December 2022,FY23,
COGS (food +packaging),PRI,December 2022,FY23,0.0
store Labor Cost,PRI,December 2022,FY23,0.0
Utility Cost,PRI,December 2022,FY23,0.1
Rent,PRI,December 2022,FY23,
CAM,PRI,December 2022,FY23,
Aggregator commission,PRI,December 2022,FY23,0.0
Marketing & advertisement,PRI,December 2022,FY23,0.01
Interest cost,PRI,December 2022,FY23,
Gross Sales,ECN,December 2022,FY23,19.4
GST,ECN,December 2022,FY23,0.41
Net Sales,ECN,December 2022,FY23,18.99
COGS (food +packaging),ECN,December 2022,FY23,6.43
store Labor Cost,ECN,December 2022,FY23,2.84
Utility Cost,ECN,December 2022,FY23,0.85
Rent,ECN,December 2022,FY23,2.02
CAM,ECN,December 2022,FY23,0.41
Aggregator commission,ECN,December 2022,FY23,2.33
Marketing & advertisement,ECN,December 2022,FY23,0.22
Interest cost,ECN,December 2022,FY23,
Gross Sales,RGA,December 2022,FY23,10.78
GST,RGA,December 2022,FY23,0.09
Net Sales,RGA,December 2022,FY23,10.69
COGS (food +packaging),RGA,December 2022,FY23,3.87
store Labor Cost,RGA,December 2022,FY23,1.81
Utility Cost,RGA,December 2022,FY23,0.75
Rent,RGA,December 2022,FY23,0.35
CAM,RGA,December 2022,FY23,0.24
Aggregator commission,RGA,December 2022,FY23,1.93
Marketing & advertisement,RGA,December 2022,FY23,0.5
Interest cost,RGA,December 2022,FY23,
Gross Sales,MIL,December 2022,FY23,
GST,MIL,December 2022,FY23,0.0
Net Sales,MIL,December 2022,FY23,
COGS (food +packaging),MIL,December 2022,FY23,0.0
store Labor Cost,MIL,December 2022,FY23,0.0
Utility Cost,MIL,December 2022,FY23,0.0
Rent,MIL,December 2022,FY23,
CAM,MIL,December 2022,FY23,
Aggregator commission,MIL,December 2022,FY23,
Marketing & advertisement,MIL,December 2022,FY23,
Interest cost,MIL,December 2022,FY23,
Gross Sales,KCK,December 2022,FY23,22.36
GST,KCK,December 2022,FY23,0.0
Net Sales,KCK,December 2022,FY23,22.36
COGS (food +packaging),KCK,December 2022,FY23,8.94
store Labor Cost,KCK,December 2022,FY23,2.6
Utility Cost,KCK,December 2022,FY23,1.22
Rent,KCK,December 2022,FY23,0.41
CAM,KCK,December 2022,FY23,
Aggregator commission,KCK,December 2022,FY23,4.83
Marketing & advertisement,KCK,December 2022,FY23,1.55
Interest cost,KCK,December 2022,FY23,
Gross Sales,BVG,December 2022,FY23,16.68
GST,BVG,December 2022,FY23,0.28
Net Sales,BVG,December 2022,FY23,16.39
COGS (food +packaging),BVG,December 2022,FY23,6.67
store Labor Cost,BVG,December 2022,FY23,2.83
Utility Cost,BVG,December 2022,FY23,0.89
Rent,BVG,December 2022,FY23,1.27
CAM,BVG,December 2022,FY23,0.12
Aggregator commission,BVG,December 2022,FY23,2.22
Marketing & advertisement,BVG,December 2022,FY23,0.87
Interest cost,BVG,December 2022,FY23,
Gross Sales,CLA,December 2022,FY23,18.43
GST,CLA,December 2022,FY23,0.02
Net Sales,CLA,December 2022,FY23,18.41
COGS (food +packaging),CLA,December 2022,FY23,7.07
store Labor Cost,CLA,December 2022,FY23,2.3
Utility Cost,CLA,December 2022,FY23,0.88
Rent,CLA,December 2022,FY23,0.33
CAM,CLA,December 2022,FY23,
Aggregator commission,CLA,December 2022,FY23,3.78
Marketing & advertisement,CLA,December 2022,FY23,1.63
Interest cost,CLA,December 2022,FY23,
Gross Sales,IBC,December 2022,FY23,3.68
GST,IBC,December 2022,FY23,0.18
Net Sales,IBC,December 2022,FY23,3.5
COGS (food +packaging),IBC,December 2022,FY23,1.1
store Labor Cost,IBC,December 2022,FY23,1.58
Utility Cost,IBC,December 2022,FY23,0.54
Rent,IBC,December 2022,FY23,0.73
CAM,IBC,December 2022,FY23,
Aggregator commission,IBC,December 2022,FY23,0.0
Marketing & advertisement,IBC,December 2022,FY23,0.26
Interest cost,IBC,December 2022,FY23,
Gross Sales,VBP,December 2022,FY23,24.62
GST,VBP,December 2022,FY23,0.31
Net Sales,VBP,December 2022,FY23,24.31
COGS (food +packaging),VBP,December 2022,FY23,9.54
store Labor Cost,VBP,December 2022,FY23,2.75
Utility Cost,VBP,December 2022,FY23,0.83
Rent,VBP,December 2022,FY23,2.67
CAM,VBP,December 2022,FY23,0.47
Aggregator commission,VBP,December 2022,FY23,3.79
Marketing & advertisement,VBP,December 2022,FY23,1.05
Interest cost,VBP,December 2022,FY23,
Gross Sales,ADM,December 2022,FY23,37.07
GST,ADM,December 2022,FY23,0.23
Net Sales,ADM,December 2022,FY23,36.84
COGS (food +packaging),ADM,December 2022,FY23,14.32
store Labor Cost,ADM,December 2022,FY23,4.1
Utility Cost,ADM,December 2022,FY23,0.91
Rent,ADM,December 2022,FY23,2.93
CAM,ADM,December 2022,FY23,0.53
Aggregator commission,ADM,December 2022,FY23,6.78
Marketing & advertisement,ADM,December 2022,FY23,0.47
Interest cost,ADM,December 2022,FY23,
Gross Sales,SFC,December 2022,FY23,22.97
GST,SFC,December 2022,FY23,0.0
Net Sales,SFC,December 2022,FY23,22.97
COGS (food +packaging),SFC,December 2022,FY23,8.95
store Labor Cost,SFC,December 2022,FY23,2.39
Utility Cost,SFC,December 2022,FY23,0.94
Rent,SFC,December 2022,FY23,0.43
CAM,SFC,December 2022,FY23,0.05
Aggregator commission,SFC,December 2022,FY23,4.93
Marketing & advertisement,SFC,December 2022,FY23,1.37
Interest cost,SFC,December 2022,FY23,
Gross Sales,SCK,December 2022,FY23,22.55
GST,SCK,December 2022,FY23,0.01
Net Sales,SCK,December 2022,FY23,22.55
COGS (food +packaging),SCK,December 2022,FY23,9.52
store Labor Cost,SCK,December 2022,FY23,2.38
Utility Cost,SCK,December 2022,FY23,1.05
Rent,SCK,December 2022,FY23,0.4
CAM,SCK,December 2022,FY23,
Aggregator commission,SCK,December 2022,FY23,4.6
Marketing & advertisement,SCK,December 2022,FY23,1.41
Interest cost,SCK,December 2022,FY23,
Gross Sales,SES,December 2022,FY23,13.21
GST,SES,December 2022,FY23,0.0
Net Sales,SES,December 2022,FY23,13.21
COGS (food +packaging),SES,December 2022,FY23,5.48
store Labor Cost,SES,December 2022,FY23,2.48
Utility Cost,SES,December 2022,FY23,0.58
Rent,SES,December 2022,FY23,0.3
CAM,SES,December 2022,FY23,
Aggregator commission,SES,December 2022,FY23,2.67
Marketing & advertisement,SES,December 2022,FY23,1.3
Interest cost,SES,December 2022,FY23,
Gross Sales,JIG,December 2022,FY23,18.16
GST,JIG,December 2022,FY23,0.16
Net Sales,JIG,December 2022,FY23,18.0
COGS (food +packaging),JIG,December 2022,FY23,8.01
store Labor Cost,JIG,December 2022,FY23,3.11
Utility Cost,JIG,December 2022,FY23,1.21
Rent,JIG,December 2022,FY23,1.45
CAM,JIG,December 2022,FY23,0.09
Aggregator commission,JIG,December 2022,FY23,3.26
Marketing & advertisement,JIG,December 2022,FY23,1.76
Interest cost,JIG,December 2022,FY23,
Gross Sales,GCN,December 2022,FY23,13.96
GST,GCN,December 2022,FY23,0.21
Net Sales,GCN,December 2022,FY23,13.76
COGS (food +packaging),GCN,December 2022,FY23,6.26
store Labor Cost,GCN,December 2022,FY23,2.93
Utility Cost,GCN,December 2022,FY23,1.0
Rent,GCN,December 2022,FY23,1.84
CAM,GCN,December 2022,FY23,0.66
Aggregator commission,GCN,December 2022,FY23,1.99
Marketing & advertisement,GCN,December 2022,FY23,1.52
Interest cost,GCN,December 2022,FY23,
Gross Sales,ANN,December 2022,FY23,15.48
GST,ANN,December 2022,FY23,0.33
Net Sales,ANN,December 2022,FY23,15.15
COGS (food +packaging),ANN,December 2022,FY23,6.56
store Labor Cost,ANN,December 2022,FY23,2.48
Utility Cost,ANN,December 2022,FY23,1.01
Rent,ANN,December 2022,FY23,1.74
CAM,ANN,December 2022,FY23,0.86
Aggregator commission,ANN,December 2022,FY23,1.88
Marketing & advertisement,ANN,December 2022,FY23,1.18
Interest cost,ANN,December 2022,FY23,
Gross Sales,SKO,December 2022,FY23,19.54
GST,SKO,December 2022,FY23,0.35
Net Sales,SKO,December 2022,FY23,19.2
COGS (food +packaging),SKO,December 2022,FY23,8.35
store Labor Cost,SKO,December 2022,FY23,2.96
Utility Cost,SKO,December 2022,FY23,1.15
Rent,SKO,December 2022,FY23,2.12
CAM,SKO,December 2022,FY23,1.03
Aggregator commission,SKO,December 2022,FY23,2.66
Marketing & advertisement,SKO,December 2022,FY23,1.42
Interest cost,SKO,December 2022,FY23,
Gross Sales,IHY,December 2022,FY23,35.88
GST,IHY,December 2022,FY23,1.23
Net Sales,IHY,December 2022,FY23,34.65
COGS (food +packaging),IHY,December 2022,FY23,13.65
store Labor Cost,IHY,December 2022,FY23,3.01
Utility Cost,IHY,December 2022,FY23,1.04
Rent,IHY,December 2022,FY23,5.43
CAM,IHY,December 2022,FY23,0.35
Aggregator commission,IHY,December 2022,FY23,2.17
Marketing & advertisement,IHY,December 2022,FY23,0.67
Interest cost,IHY,December 2022,FY23,
Gross Sales,DCH,December 2022,FY23,11.77
GST,DCH,December 2022,FY23,0.56
Net Sales,DCH,December 2022,FY23,11.21
COGS (food +packaging),DCH,December 2022,FY23,4.52
store Labor Cost,DCH,December 2022,FY23,1.57
Utility Cost,DCH,December 2022,FY23,0.0
Rent,DCH,December 2022,FY23,0.0
CAM,DCH,December 2022,FY23,
Aggregator commission,DCH,December 2022,FY23,0.0
Marketing & advertisement,DCH,December 2022,FY23,0.0
Interest cost,DCH,December 2022,FY23,
Gross Sales,HAA,December 2022,FY23,20.74
GST,HAA,December 2022,FY23,0.99
Net Sales,HAA,December 2022,FY23,19.75
COGS (food +packaging),HAA,December 2022,FY23,7.39
store Labor Cost,HAA,December 2022,FY23,3.38
Utility Cost,HAA,December 2022,FY23,1.07
Rent,HAA,December 2022,FY23,6.85
CAM,HAA,December 2022,FY23,0.64
Aggregator commission,HAA,December 2022,FY23,0.0
Marketing & advertisement,HAA,December 2022,FY23,0.5
Interest cost,HAA,December 2022,FY23,
Gross Sales,SCH,December 2022,FY23,33.43
GST,SCH,December 2022,FY23,0.9
Net Sales,SCH,December 2022,FY23,32.53
COGS (food +packaging),SCH,December 2022,FY23,12.0
store Labor Cost,SCH,December 2022,FY23,3.61
Utility Cost,SCH,December 2022,FY23,1.17
Rent,SCH,December 2022,FY23,3.84
CAM,SCH,December 2022,FY23,0.5
Aggregator commission,SCH,December 2022,FY23,3.24
Marketing & advertisement,SCH,December 2022,FY23,0.12
Interest cost,SCH,December 2022,FY23,
Gross Sales,LTP,December 2022,FY23,17.54
GST,LTP,December 2022,FY23,0.37
Net Sales,LTP,December 2022,FY23,17.18
COGS (food +packaging),LTP,December 2022,FY23,7.38
store Labor Cost,LTP,December 2022,FY23,2.42
Utility Cost,LTP,December 2022,FY23,1.48
Rent,LTP,December 2022,FY23,1.55
CAM,LTP,December 2022,FY23,0.41
Aggregator commission,LTP,December 2022,FY23,2.16
Marketing & advertisement,LTP,December 2022,FY23,2.58
Interest cost,LTP,December 2022,FY23,
Gross Sales,FSM,December 2022,FY23,25.54
GST,FSM,December 2022,FY23,0.81
Net Sales,FSM,December 2022,FY23,24.74
COGS (food +packaging),FSM,December 2022,FY23,9.85
store Labor Cost,FSM,December 2022,FY23,3.34
Utility Cost,FSM,December 2022,FY23,0.73
Rent,FSM,December 2022,FY23,3.62
CAM,FSM,December 2022,FY23,0.52
Aggregator commission,FSM,December 2022,FY23,1.88
Marketing & advertisement,FSM,December 2022,FY23,0.6
Interest cost,FSM,December 2022,FY23,
Gross Sales,GSM,December 2022,FY23,14.29
GST,GSM,December 2022,FY23,0.26
Net Sales,GSM,December 2022,FY23,14.03
COGS (food +packaging),GSM,December 2022,FY23,5.71
store Labor Cost,GSM,December 2022,FY23,2.33
Utility Cost,GSM,December 2022,FY23,0.61
Rent,GSM,December 2022,FY23,0.83
CAM,GSM,December 2022,FY23,0.24
Aggregator commission,GSM,December 2022,FY23,1.91
Marketing & advertisement,GSM,December 2022,FY23,0.92
Interest cost,GSM,December 2022,FY23,
Gross Sales,PPM,December 2022,FY23,20.5
GST,PPM,December 2022,FY23,0.37
Net Sales,PPM,December 2022,FY23,20.13
COGS (food +packaging),PPM,December 2022,FY23,7.69
store Labor Cost,PPM,December 2022,FY23,2.75
Utility Cost,PPM,December 2022,FY23,0.8
Rent,PPM,December 2022,FY23,1.72
CAM,PPM,December 2022,FY23,0.41
